state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
California,,,Adopted,6,2022,38548670,19171237,1296278,1261939,3315709,3198421,1802135,1605299,2603102,2258904,2699796,2382909,2433008,2186607,2303818,2151453,19377433,1245655,1213717,3158907,3055071,1757264,1623758,2515240,2302682,2611463,2403958,2402909,2212570,2348565,2212492,2041970,128922,125356,326234,315812,192374,177262,301042,272356,272530,254359,252926,238039,268767,259113,14960397,783534,763990,1948902,1897151,1165166,1094729,1797029,1661489,1957808,1851268,1824792,1739843,2134112,2054083,571074,1427919,481698,527825,482066,439302,471728,546030,1353744,557731,660555,600695,512659,547650,15415257,40,6357937,26.6,26.3,20.2,4902396,70.9,10392445,33.2
Colorado,,,Adopted,8,2022,5742363,2886790,186234,179827,469310,444358,275973,240989,415030,362152,433212,387577,357330,321090,337083,313331,2855573,181746,174665,447952,424208,259154,234659,389711,355555,408626,371882,339397,308885,345037,324392,224312,19963,19764,39983,37414,23279,20285,35275,31016,31430,27621,27660,24696,23274,22386,4043678,212351,205912,567614,544958,348525,321214,559874,510567,587101,552112,492300,462558,524965,496665,68619,151318,47801,56395,56634,37803,45290,67150,142995,53473,73240,68844,41854,50261,1912853,33.3,932447,19.1,20.3,13.7,507840,64.5,1396536,28.5
Connecticut,,,Adopted,9,2022,3582236,1751237,111520,106874,289309,279161,168229,152978,200595,175226,222611,200216,222058,203903,247659,236916,1830999,106169,103740,273599,266210,168769,157150,200573,184637,232418,218805,231180,217944,262677,253973,372534,23379,22464,69219,65667,39032,35551,50617,44675,52931,49585,47471,43642,46577,44591,2328376,115955,113673,305170,298099,199763,189468,236966,220579,267728,256067,290739,280053,381435,371553,40955,105560,34481,35351,37189,33135,37786,42046,97658,34718,50933,59875,39650,47093,1346147,37.6,674591,21,22.8,15.9,383751,75.3,954982,31.8
Delaware,,,Adopted,10,2022,1005551,485841,34139,33239,78803,75312,40385,35619,56674,48877,59900,53103,54100,49330,67348,63875,519710,31203,30581,78426,75951,39746,36220,60807,55309,63741,59219,57529,54492,74420,70828,220524,16913,16717,41261,39808,20377,18746,27102,23039,30259,27604,24249,22755,29391,28192,603201,28982,28628,74673,72937,41626,39240,64800,60733,67207,64646,67341,64423,97791,92972,13406,28567,6175,8811,7409,6188,8659,12188,30628,10013,12475,13235,9113,13270,397480,39.5,221481,21.8,20.6,14.3,101566,71.3,292800,34.5
District of Columbia,,,Adopted,11,2022,661425,312192,22432,22151,44844,43923,31701,30161,58277,55988,53451,50386,35336,33261,30708,29019,349233,23568,23111,43369,43154,39938,38900,69067,66681,56075,55017,35015,34529,32345,30947,276579,18444,18163,47192,46522,25095,23733,40947,38000,36678,34457,30420,29579,33143,31072,254425,14502,14502,19170,19142,32178,31607,61945,60967,49688,48948,25950,25039,19675,19086,8982,19015,7995,4536,7012,6088,7534,8149,20139,5587,13139,11868,8052,10290,223716,33.8,89083,32.1,21.1,18,78528,69.3,143592,27.3
Florida,,,Not Adopted,12,2022,21904247,10713019,678570,639628,1647937,1513055,920517,719994,1214877,917053,1361647,1085452,1336887,1118881,1428588,1258241,11191228,649627,611779,1564690,1439946,900427,759455,1229814,1019148,1381054,1180156,1364551,1185270,1534029,1369639,3249366,254359,241820,609474,560886,335564,267723,435168,340578,441267,364613,390582,331385,372435,329640,12261498,603659,570112,1486619,1383550,893658,758783,1232634,1019726,1341424,1166593,1410150,1236772,1845133,1654395,314138,634206,110289,112311,108637,102900,149676,299256,598296,142027,185809,183988,134052,167242,8218687,37.5,4926950,18.5,21.8,12.2,2442051,58.6,5722358,32.7
Georgia,,,Not Adopted,13,2022,10718050,5170732,380498,361259,983760,914858,504809,395929,617393,476571,682572,548295,666892,566597,631000,556180,5547318,369123,350374,931820,872792,518902,426480,672517,546468,747299,627386,712173,616324,692267,614372,3307630,236562,224966,633074,594373,339897,272309,434104,339516,449649,379090,426884,375839,392683,349035,5502362,323352,309649,836502,791086,482432,410248,612036,511784,689679,594152,714653,634280,766733,688261,176376,386331,47504,43950,42916,41033,56313,173734,356009,80202,101613,85127,56012,76774,3535804,33,1780318,19.3,19.3,12.9,1158064,56.9,2352295,27.4
Hawaii,,,Adopted,15,2022,1383700,677990,48877,47087,110687,107571,51831,47770,75167,68208,89192,85318,83348,80159,87157,83628,705710,45636,44481,105858,102521,52650,50449,79517,73940,92243,89145,83369,80659,88470,85893,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,291182,14328,13921,30639,29723,18830,17886,31667,28576,41679,39808,33878,32289,42528,41772,18086,37923,8759,12442,13445,11209,12488,17617,36717,11297,16387,18784,10598,13325,545115,39.4,293887,21.7,19.5,13.9,141001,68.4,399995,34.3
Idaho,,,Adopted,16,2022,1911951,958948,68381,64101,184265,172976,95039,80462,108592,91969,128481,112773,110910,95766,110499,99421,953003,68014,64437,173630,164402,90623,82711,110489,99064,123221,108007,106103,94620,112049,105116,11948,1154,1154,2020,1975,2124,1950,2189,1754,1754,1684,1371,1301,647,628,1567079,100270,94502,278333,264584,146634,131575,174081,154723,203476,182184,176018,159689,193292,179458,28762,64420,15099,15800,18702,13194,17337,27045,61114,16272,24883,22078,16051,17072,711922,37.2,357450,22.8,20.9,14.1,213566,65.8,492812,31.6
Illinois,,,Adopted,17,2022,12413406,6118706,414289,401072,1060541,1022042,578027,511884,758040,656814,824675,726323,768942,691635,779762,725842,6294700,399827,388792,1004672,968454,560649,511264,756569,692549,823274,750947,773325,704185,810370,764589,1635991,115976,113151,294223,285791,166773,145516,221992,196164,206571,188408,194975,178243,200849,186471,7589560,434229,422100,1085053,1055202,625002,585710,868386,799906,973360,913714,938367,888821,1097431,1049068,165914,398353,95765,96546,101327,89472,102044,158734,362564,129084,167838,148524,113971,125767,4443075,35.8,2230190,19.9,21.7,15.2,1481226,69.4,2933722,28.9
Indiana,,,Adopted,18,2022,6737570,3333046,252501,238735,606379,573038,336792,296965,396996,337474,419437,372644,403014,368596,417112,383125,3404524,230174,217680,576917,545101,321899,291580,395015,356208,429732,394392,402480,373716,432289,407607,616566,54141,53151,122992,116386,66990,56134,86073,71701,81510,73241,69955,64617,66342,61324,5230483,333619,315204,835236,791856,483246,438408,593679,530463,648579,597613,632588,589388,715313,669196,108654,206766,52818,59181,51012,49489,55439,96893,196381,71644,99158,86598,64249,71375,2480611,36.8,1245586,22.5,22.1,15.1,836088,68.3,1622663,30
Iowa,,,Adopted,19,2022,3153337,1581954,112827,108434,279731,269060,161171,147255,182081,163275,202513,187576,183771,173854,199619,190315,1571383,105056,100998,264776,255500,150170,141808,176082,165386,197489,187954,174687,165898,200491,193209,116808,13058,13022,27352,26338,14512,13522,17108,14947,14916,12811,12737,11732,9421,8740,2663601,168476,161773,424608,410648,249163,233784,285713,265572,333286,317862,307307,293344,362550,348247,45352,96429,21696,28777,26772,19522,26288,40009,90837,38221,41300,36171,23959,29672,1160255,36.8,611282,19.5,19.7,13.4,353831,70,799145,30.8
Kansas,,,Not Adopted,20,2022,2876222,1429314,110178,105751,264117,247697,148078,122057,164368,135763,186096,159791,161155,141341,172499,157104,1446908,100916,97485,255063,241414,140806,122388,162871,144139,184554,163373,158109,139486,179167,165326,143290,10436,10213,28195,26659,18597,14274,16059,13246,18969,16606,14868,13336,17101,14835,2199247,143361,138289,362746,347323,208630,182098,240862,212041,280676,253461,242467,220024,290928,270290,38417,75545,12868,11472,11704,10014,14766,34997,75517,18354,19839,18486,11683,16765,896248,31.2,524182,16,15.7,9.6,262707,52.6,626906,26.8
Kentucky,,,Adopted,21,2022,4428274,2175292,159607,152087,382916,364624,203650,177547,257044,225484,271262,244336,273972,254709,281154,265516,2252982,152701,146611,365497,351759,201396,184384,257206,238589,281597,263229,273486,259348,298245,287119,330093,24114,23417,66510,64494,36168,31074,41963,36949,41349,39274,38625,37478,38598,35900,3687549,238880,228773,577290,553210,325897,295573,420264,384325,457493,425354,460351,434351,509054,488823,75957,172545,45437,56552,60288,52575,59776,74113,175639,61277,86553,76667,61658,75302,2002287,45.2,894817,34.9,28.2,21.3,800590,78.1,1186130,35.4
Louisiana,,,Adopted,22,2022,4494008,2174056,166236,160855,407663,391845,204903,179548,255511,207975,279194,237308,253705,222804,270696,252749,2319952,160976,156133,384880,371468,201717,185786,270425,249563,310450,284297,269189,246399,299921,280521,1386017,112359,109452,277088,270356,147766,132683,170383,150973,179124,158210,154703,140708,158897,150115,2600451,161231,157111,402563,391178,211365,194795,290817,261629,339090,311773,311722,284924,361340,339564,89143,213992,66448,55956,60232,53145,65244,93391,198900,78551,103694,98538,72117,76717,2145830,47.7,867734,33.2,31.1,24.1,903410,76.4,1226937,37.5
Maine,,,Adopted,23,2022,1368026,674212,39383,37223,93820,89960,56183,48553,73118,61641,83959,74958,84904,76071,103172,95626,693814,35188,33415,91782,87665,53332,48154,74735,65835,84249,77962,83685,77495,107858,101541,21533,2522,2322,4081,4019,2463,2184,3890,2903,3329,2698,2866,2511,1289,1281,1242482,62693,59357,162850,155700,96944,85342,132039,113915,149143,135864,151900,138383,196742,183881,14225,31040,9253,12339,13139,11771,15930,13956,31957,11027,16193,18300,13027,18695,553917,40.5,329265,23.8,20.9,12.8,160307,75.9,387211,34.1
Maryland,,,Adopted,24,2022,6073039,2941722,216396,210092,517577,494226,251249,224275,349557,304289,399798,352528,368766,336746,393426,371690,3131317,204867,196839,489292,466950,259130,238948,361016,331501,423268,390908,395074,369927,426104,407928,1787737,122231,119624,298146,289155,161107,146077,226458,206294,244728,228343,233670,221025,244988,233476,2938431,162973,158811,407179,395313,225189,215095,324700,307666,372855,356028,357997,346203,446748,432350,84879,179943,42879,52849,52858,47038,55522,76681,165514,53687,75678,75061,51571,64854,2135410,35.2,1070109,20.3,18.8,14.3,574567,68,1547604,30
Massachusetts,,,Adopted,25,2022,6919123,3382645,212185,209366,521954,512641,343992,326525,430883,406713,447100,426866,419907,407206,461577,450699,3536478,199016,196331,502816,495560,347378,338609,431892,417734,453426,442799,433613,423266,485502,476339,487559,40921,40509,90092,88208,56259,53643,69938,66275,66690,63717,57594,55534,54410,52418,4754152,221036,219135,610798,602090,442034,430138,548839,531949,567960,552715,586499,572719,739319,726220,77217,178008,65837,82930,81788,73601,93933,70855,170599,72749,101881,113641,88802,109408,2616422,37.8,1299257,25.2,20.9,15.7,751424,75.7,1846266,32
Michigan,,,Adopted,26,2022,9929781,4908512,330269,321993,813712,791226,475676,436160,595424,525818,602590,554647,590894,552358,665423,633173,5021269,317794,308717,771785,751437,462905,432590,575070,538945,601347,569875,599358,569768,689421,659751,1291121,104303,102451,239673,234857,134034,120327,173929,156654,147966,138596,159113,147669,149937,142879,7361708,421927,409717,1054068,1026937,656078,616348,823826,756803,878836,828661,887416,841779,1086738,1041738,146466,306031,94769,116431,111720,92295,113349,136415,300376,128995,172511,147757,116764,127762,4066803,41,2040344,24.9,22.3,16.7,1422926,74.2,2617434,33.1
Minnesota,,,Adopted,27,2022,5657569,2837626,205078,198213,491783,475130,256300,233808,342733,308268,393096,366902,334870,317126,367029,348342,2819943,192566,186611,471743,455802,247837,229288,325121,306675,380627,361454,316757,302899,370294,354669,390180,42982,42388,93936,90394,46149,39866,53794,47633,61780,55693,39133,37122,29605,27513,4369642,261005,254525,638958,623392,358900,339102,484589,455754,577301,555276,518899,500340,641210,615431,69744,156365,39198,52440,60476,40543,43187,68647,149085,51266,77670,75781,45475,55562,1999131,35.3,1018829,19.1,18.9,13.9,572458,71.7,1413033,29.5
Mississippi,,,Not Adopted,28,2022,2872112,1375919,103362,98985,262899,246184,138109,107380,146416,109123,172434,138173,166224,139677,169889,147106,1496193,99430,94438,255785,242437,139633,115876,160824,131524,192777,165028,178476,157992,188998,171240,1048564,79792,77628,211660,202104,112804,84252,115556,85610,140126,116181,128150,109755,120203,108245,1603433,96402,91860,251493,235683,141737,122306,166614,138736,195730,166490,193919,172156,220111,194008,57819,123946,17858,14889,19704,19965,23252,55118,118163,26607,29469,28187,24719,31857,1151837,40.1,587902,25.3,23.2,16.1,499005,63.6,640439,31.3
Missouri,,,Adopted,29,2022,6071333,2977009,222166,211198,516733,486224,283776,238492,349831,285797,384550,326689,351212,306227,387208,353933,3094324,207686,196133,495047,464729,277361,245623,362638,317844,394217,350677,355002,320467,407010,375184,638403,50979,48324,124044,117047,66060,55064,85700,71952,80916,70679,72766,62914,76167,69224,4722662,300525,284788,722228,679152,417056,366147,532308,453302,604788,533251,558949,503002,653234,602966,86350,171567,27000,25154,31448,28281,40977,79776,165770,42864,58023,49902,35038,49625,2084656,34.3,1206083,20.9,19.9,11.7,720610,61.6,1344447,27.9
Montana,,,Adopted,30,2022,1104997,556418,33676,31414,93372,86795,53572,45746,65286,55215,72476,62582,61770,53943,70198,62959,548579,37540,35357,84542,78453,45969,41152,62491,55418,71408,63399,59679,54860,72304,66457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,942395,56065,53094,140164,132636,80400,71643,106564,93998,123187,108822,104481,95748,127102,116477,13580,37080,9403,13136,11673,7927,11100,14828,29562,10928,16236,12718,9505,12096,448500,40.6,235826,23.5,23.5,15.9,136706,68.6,308896,34.5
Nebraska,,,Adopted,31,2022,1939912,969478,75376,72718,183590,175754,94321,81457,110427,96168,132454,117485,109613,99681,115468,108395,970434,71339,67644,174691,165835,88077,80241,111275,98955,127040,116418,104825,98571,116953,110005,88411,8407,8319,20521,18835,8675,7296,12828,11368,11692,9586,10544,9246,8243,7178,1524142,100737,96352,250570,241365,139698,127777,164959,148959,201710,188759,171539,161888,198934,189673,26260,53380,11245,10813,10211,9172,11523,24037,50744,14261,19396,16949,11199,13073,626414,32.3,344918,17.1,17.5,11.1,202926,63.1,417182,26.2
Nevada,,,Adopted,32,2022,3139304,1568563,104543,97579,263839,243035,136819,109063,200972,159867,219587,179039,198181,168293,194916,170530,1570741,105727,98463,250952,231105,127475,106694,201764,171065,212669,185266,195087,168146,192778,174468,289858,20628,20179,54873,52447,26723,22335,47375,37983,40538,35401,33047,28584,30977,27513,1541784,73783,70077,199603,186744,107111,92261,173400,149968,198367,178940,194417,177413,229548,212809,39855,97448,22042,31504,26503,23160,28766,44469,91928,25505,47503,37564,29853,31462,1157578,36.9,562304,23,22.7,15,373929,62.8,777557,30.7
New Hampshire,,,Adopted,33,2022,1379160,687811,38695,37710,96652,93655,61960,56277,84569,74194,85903,79417,85299,79866,107043,100363,691349,36676,35608,96862,92713,54076,51430,79863,73851,84225,79314,85331,80444,109038,104639,18050,2194,1741,2380,2380,2002,1696,3480,3217,3258,2641,1656,1499,1614,1586,1207120,59364,58395,160271,155076,98061,91655,137060,124796,144383,136040,151138,143667,198333,188663,12070,25472,7012,10260,9475,6661,8744,10876,23148,8020,11913,11181,8279,12194,462610,33.5,296113,17.4,17.3,9.7,110805,73.6,348425,28.8
New Jersey,,,Adopted,34,2022,9168124,4503023,314870,305526,763421,732616,388983,342748,536559,466407,610910,527130,587082,529480,607393,566608,4665101,298101,288473,731135,698677,381292,347109,523970,468179,608924,547118,599162,554502,639820,607653,1141198,79199,77698,199691,190977,110461,100070,150252,132986,156360,138729,146918,136294,148434,138138,4956834,273687,268272,692920,677918,383147,365415,524655,493940,579370,552495,618273,591881,777246,751765,117419,243123,64539,71343,63079,58815,74053,104586,239438,78339,91376,94191,84049,94789,3080321,33.6,1641487,18.4,19.6,13.4,856661,67.8,2211902,28.3
New Mexico,,,Adopted,35,2022,2074351,1016767,62267,60096,182193,175807,99570,85562,118954,96158,130981,114928,116941,101099,122514,109396,1057584,69232,67084,169506,161805,95664,83660,118204,103958,135262,123557,118150,102957,134791,121239,42210,2812,2812,7164,7154,5389,5134,7575,6929,4557,4086,3610,3364,5705,5651,960727,50886,48945,136268,131185,69398,64928,99422,88351,118993,111398,107959,99058,133457,123017,35546,102295,37465,31701,35679,26089,26962,41654,94593,40018,47058,44687,31260,32582,1062129,51.2,442516,31.6,33.2,25.4,416778,77.7,638274,42
New York,,,Adopted,36,2022,19475046,9497784,645424,628076,1524625,1481316,888532,820341,1232906,1102954,1247653,1124214,1176571,1083671,1261374,1192554,9977262,612322,597789,1451320,1415778,906727,854793,1234812,1155399,1263937,1187839,1212783,1154166,1342688,1288395,2770784,187270,183647,448065,437530,275815,257313,388359,352555,363782,338558,340987,324157,359934,338956,10758899,595357,580665,1461336,1424311,928054,884611,1270666,1198474,1302221,1240764,1285092,1236331,1567434,1518875,301580,676412,235397,288775,266409,249896,288615,280691,627246,262596,354571,349711,299819,324929,8355947,42.9,3717700,28.6,25.9,20.2,2947132,76.8,5341469,34.8
North Carolina,,,Adopted,37,2022,10480843,5061676,353445,340109,893149,847328,470353,394159,595229,474179,646195,526212,647435,562625,649729,579660,5419167,354245,339983,838329,793704,491320,432702,641312,553820,689963,600456,682714,610971,702787,639371,2124797,144050,139419,377490,362544,215037,185913,278417,232450,277963,236567,263269,232280,262707,237855,6522815,355423,344772,908424,875716,552507,496539,725696,628655,795467,711211,843023,774329,947205,868890,159952,350843,60521,54695,50054,52071,67317,160031,326408,91854,112523,92933,63458,85562,3764396,35.9,2025487,20.7,20.3,13.1,1255590,62.4,2480219,29.8
North Dakota,,,Adopted,38,2022,762522,388167,29659,27684,69206,65508,42544,36856,51444,44800,53174,48137,40014,36981,44457,41830,374355,27296,26224,64198,60465,39419,36157,47268,43834,50802,46905,34785,33021,44467,42552,24678,2999,2271,5689,5591,2135,1200,3579,2688,6074,4646,1549,831,2488,1802,635396,41508,40397,102688,98424,68166,62450,78077,72429,83018,78914,65259,62431,79417,76489,6875,15678,3190,4195,4529,3308,3989,7201,15552,4302,7436,7139,4284,4986,224737,29.5,128625,18.2,13.6,9.1,70679,57.3,151801,24.4
Ohio,,,Adopted,39,2022,11587715,5706531,408913,390309,975468,931557,532758,472240,689700,589131,719062,647446,689590,635702,748796,703789,5881184,384574,368030,940184,897687,519283,480043,676894,626210,728952,684689,698582,656861,781357,739528,1378658,114553,111787,269256,258963,140192,125440,186161,162409,173036,152747,153085,136159,156608,145769,8941113,538975,512301,1338637,1280900,774608,708658,1011171,910882,1103807,1032296,1095897,1032647,1273276,1206844,162743,349266,93784,101273,111409,88689,106048,160183,331515,132845,189282,169101,119993,127167,4492883,38.8,2291867,22.7,23.2,15.7,1617733,73.5,2842689,30.7
Oklahoma,,,Adopted,40,2022,3930259,1937901,148877,140613,370177,341263,194379,151320,229248,172512,257826,204921,221462,186079,226613,199200,1992358,140936,132207,350242,322796,188933,155570,233020,192826,259470,221784,225405,195463,241469,216252,258072,22130,21742,50098,47292,27787,22441,33118,25968,34499,28998,30129,27007,29600,25972,2565469,148714,141963,397154,373369,227783,192462,285732,237489,337652,293179,305326,271685,344581,313854,77330,164078,27307,28306,29473,23650,26911,76761,157260,42686,50714,43403,31544,36489,1555587,39.6,732210,24.2,23.8,16.9,580272,64.1,961789,32.3
Oregon,,,Adopted,41,2022,4199471,2092270,125078,122350,334538,322335,180487,156120,271079,230694,297153,268623,264122,240020,249242,232356,2107201,118938,116324,309718,300439,175309,161728,265839,245097,289004,269282,256077,238166,259457,244149,79152,4534,4175,16305,15881,8936,7924,13454,12625,12262,11497,9276,8328,7881,7415,3130888,155773,152196,418803,405774,239511,219832,373332,338337,430808,405165,387288,366034,414939,392485,53452,132988,36629,55988,48965,43086,47601,49539,121768,48013,72100,65738,46492,56209,1728315,41.2,860777,27,23.8,16.3,541151,71.9,1173789,34.5
Pennsylvania,,,Adopted,42,2022,12789843,6284515,407986,384478,1020765,968981,580319,528159,754185,672350,800154,726977,758661,712781,861089,817362,6505328,389439,368347,986687,938001,574889,529656,741731,686027,797486,753956,765410,722373,894191,854110,1312681,92233,88480,258607,247405,134780,123291,185412,167590,163955,150805,149858,140951,156889,148103,9534753,511152,480162,1304637,1234560,806699,748110,1044486,963154,1148915,1079747,1150508,1094705,1430095,1370875,164737,384286,104916,125062,110587,103200,125964,158795,357213,123488,176959,163841,127525,154662,4960334,38.8,2666004,22.1,20.7,14.1,1585469,73.2,3333456,32.1
Rhode Island,,,Adopted,44,2022,1076902,524888,30448,30196,80989,78763,53187,47951,68247,61093,68129,63200,63075,59662,73771,69601,552014,31391,31183,78100,76245,53190,51543,66222,62294,67648,64947,65014,61470,78547,75470,58714,3157,3034,12938,12423,8571,7811,7177,5985,8207,7713,7407,6786,6459,5537,758147,33823,33757,93729,92806,67666,64431,88218,83183,91920,88520,91503,88526,119286,116652,10524,28413,8206,13517,11733,10897,11836,11683,25002,10034,18199,12468,14390,15312,408257,37.9,215776,23.1,21.7,14.8,122871,75,282105,31.9
South Carolina,,,Not Adopted,45,2022,5185489,2495157,174341,165902,431195,408916,229033,184775,277530,216000,314988,261396,300921,261011,325184,297202,2690332,169262,162600,415348,396524,231391,197805,303809,264762,338185,298991,321166,285195,363041,329590,1293124,93270,89640,241775,232441,130636,103608,157124,124613,164934,145609,152503,133653,159266,144809,3311000,187205,180628,465063,445303,270971,236145,357118,308460,401214,354353,404042,360955,475726,438548,81485,183293,25561,21514,27331,26369,35307,84942,173454,44289,63459,52029,33942,42161,2004560,38.7,1110189,21.5,21.2,13.6,658845,63.3,1329034,32.6
South Dakota,,,Adopted,46,2022,888485,448896,34854,32895,83746,78033,39400,33487,51268,40817,57662,51160,49278,44257,56927,50715,439589,33566,32144,79091,73782,38852,34765,46707,41104,55172,50315,45908,42011,57793,53487,17331,2419,2419,3462,3340,1991,1539,1901,1432,4121,3853,1833,1740,1062,830,719354,47585,45332,116622,109812,61075,55153,77137,68384,90777,84502,79025,74449,101319,94403,10835,22558,2467,3098,4296,2557,3094,10191,22955,5668,4843,4663,3575,5320,284336,32,171398,15.9,16.2,9.1,89615,57.4,192408,26.8
Tennessee,,,Not Adopted,47,2022,6951491,3393870,243929,231978,587396,554493,319492,266131,415013,325954,436399,360933,422596,370400,437060,390407,3557621,234756,223660,555856,525959,322431,282840,431068,373735,456209,401886,433348,390987,466690,423249,1071040,87016,84467,196888,190222,112823,93197,146874,120411,139744,121226,123462,109132,126994,115835,5085854,300605,286880,752349,715683,447531,396925,593579,507465,636308,566271,644332,584721,712276,644060,106313,225947,39333,36371,37484,36775,49075,108355,212552,59118,85267,77274,51994,62353,2494184,35.9,1317048,20.9,20.8,13.4,850218,61.8,1622994,29.5
Texas,,,Not Adopted,48,2022,29539484,14646223,1175270,1083573,2840380,2504866,1472135,1035932,1893173,1336661,2077423,1562122,1811967,1435396,1595255,1352236,14893261,1114879,1026763,2731078,2392196,1425529,1082467,1903333,1434751,2062320,1631581,1821463,1469406,1668666,1415300,3511325,289471,271773,670962,613428,353259,274565,505773,375718,509125,402439,428804,370134,380102,330740,14051233,935433,870191,2276729,2073725,1252126,1014617,1703146,1364667,1889218,1601217,1694294,1466745,1785204,1597552,529929,1013683,130533,103688,100191,90900,124870,497309,962804,207136,218448,174071,119529,152441,8746449,29.6,4189913,15.3,18.4,12.4,3136443,51.8,5556689,23.9
Utah,,,Adopted,49,2022,3353888,1696255,143136,134612,365241,342986,202701,172668,223616,191231,230890,205043,189353,169062,153932,143542,1657633,135213,128733,343521,320200,193773,174710,213164,191028,225281,205097,180941,164798,154401,142743,36535,3886,3886,9236,8611,6335,5835,5157,4200,3441,2829,4528,3356,2462,1908,2657930,206154,197145,539634,516386,305191,278441,338549,304523,363380,337785,293123,276162,253863,240757,32651,58001,11537,17467,14310,10198,10151,26566,55771,20623,22634,18611,14340,14703,745194,22.2,415922,13.3,12.1,7.2,192246,45.4,548587,18.9
Vermont,,,Adopted,50,2022,640316,317110,16515,16448,46892,46235,30629,28398,35757,32481,38766,34621,37645,35756,45967,43847,323206,17636,17246,43151,41047,29708,28000,35116,33210,40331,39151,37717,36298,48104,46607,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,581607,28498,28153,79559,77233,54042,50237,62298,57864,69455,64438,70309,67100,87871,84643,6895,18050,4222,8186,6570,7009,9053,7744,16299,6847,10695,8072,6270,8463,268273,41.9,150364,23.9,22.8,15.5,71490,75.6,194994,36.9
Virginia,,,Adopted,51,2022,8446378,4122747,294917,283006,723539,689420,387072,342673,485072,415607,543455,481319,514046,469481,534110,501287,4323631,282609,272966,677833,646944,391661,352997,504452,460986,578439,533557,534283,499773,565971,531731,1556094,105843,102664,275297,265588,156068,140650,188850,166713,210184,190933,186882,172127,203534,189817,5095066,294950,286586,740408,714770,431054,403220,569357,523025,644787,604600,632981,599457,730020,695127,101315,217997,53998,58524,59322,43414,57700,92932,192843,73165,97632,86459,58650,76865,2887617,34.2,1519416,22.2,18.6,12.2,854638,66.9,2012034,28.5
Washington,,,Adopted,53,2022,7667041,3842086,262543,257804,627533,609466,338815,296401,527069,461687,559610,503233,474368,434181,462128,428965,3824955,248246,241008,594369,576325,321739,294493,506871,462983,537574,497426,454611,422520,465235,435712,296007,21137,20993,50953,50408,30788,28476,44791,38798,48106,44111,38508,33681,33733,29745,5052823,268541,262517,683479,668711,394519,361780,627577,574972,696785,655215,624487,593635,701139,665319,105137,254342,63027,72944,71183,57511,62900,98312,220963,76444,103721,99370,61166,75055,2785593,36.3,1361309,20.6,20.7,14.7,768911,69.3,1992985,30.7
West Virginia,,,Adopted,54,2022,1741322,857173,50797,49896,139485,135861,76506,66994,93990,78800,101311,90749,111304,100980,116201,107015,884149,53215,51782,131717,126996,77063,71869,87034,79454,106934,100585,107311,98169,121510,113325,53213,4247,4106,8258,8066,6386,5704,7056,6110,6584,5970,6539,5633,4825,4343,1578483,90572,88928,234997,227687,136062,123588,162867,142133,186734,172618,201473,184167,220469,204701,28899,68934,16514,22292,25911,21972,23767,29505,62230,23783,30258,34679,23820,31007,856765,49.2,424324,34.3,28.2,20.7,351708,79.4,499137,39.1
Wisconsin,,,Not Adopted,55,2022,5831451,2920035,192081,183462,492185,471179,280620,252752,330471,292909,371850,338879,347300,325711,403389,381585,2911416,180354,171163,460934,440080,263007,245437,324154,301386,361186,340296,338690,318714,408340,390940,339481,28770,27923,78220,75750,38004,34146,48238,42729,41525,37691,36788,33111,34924,33253,4696269,258347,245944,671236,645427,413996,387149,498817,463798,584492,555122,562484,540335,714342,685179,68278,157716,39104,45801,44272,36722,52880,65713,141009,54974,72229,60104,43692,56473,2079007,35.7,1173261,19,18.9,12,615034,67.6,1449283,29.9
Wyoming,,,Not Adopted,56,2022,570764,290767,18585,16182,53059,49276,24027,17368,34085,25003,40378,32222,32697,28653,36184,32388,279997,19150,18213,47885,44088,21865,17886,30031,25735,39706,33437,31077,26906,36599,32893,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,483941,29914,27584,80172,75123,39950,31395,52678,42911,68811,58242,52707,46847,63170,56813,4909,11571,1232,1417,2902,1676,2636,5507,11066,2763,2997,2738,1977,3839,177852,31.2,117033,18.7,15,7.4,50240,50.9,126118,27.1
