,state,year,expansion,gender,age,percentage
418,New Hampshire,2014,Adopted,female,35-44,0.068405783
419,New Hampshire,2014,Adopted,female,45-54,0.059613628
420,New Hampshire,2014,Adopted,female,55-64,0.052182229
421,New Jersey,2014,Adopted,male,< 6,0.360259634
422,New Jersey,2014,Adopted,male,6-17,0.284617645
423,New Jersey,2014,Adopted,male,18-24,0.106206783
424,New Jersey,2014,Adopted,male,25-34,0.081888085
425,New Jersey,2014,Adopted,male,35-44,0.081643792
426,New Jersey,2014,Adopted,male,45-54,0.081373075
427,New Jersey,2014,Adopted,male,55-64,0.085492757
428,New Jersey,2014,Adopted,female,< 6,0.366679852
429,New Jersey,2014,Adopted,female,6-17,0.282491729
430,New Jersey,2014,Adopted,female,18-24,0.146837784
431,New Jersey,2014,Adopted,female,25-34,0.156828428
432,New Jersey,2014,Adopted,female,35-44,0.126979843
433,New Jersey,2014,Adopted,female,45-54,0.105811901
434,New Jersey,2014,Adopted,female,55-64,0.099198397
435,New Mexico,2014,Adopted,male,< 6,0.626204124
436,New Mexico,2014,Adopted,male,6-17,0.525234151
437,New Mexico,2014,Adopted,male,18-24,0.183645582
438,New Mexico,2014,Adopted,male,25-34,0.188671103
439,New Mexico,2014,Adopted,male,35-44,0.179759814
440,New Mexico,2014,Adopted,male,45-54,0.163811964
441,New Mexico,2014,Adopted,male,55-64,0.146754054
442,New Mexico,2014,Adopted,female,< 6,0.602130744
443,New Mexico,2014,Adopted,female,6-17,0.53723475
444,New Mexico,2014,Adopted,female,18-24,0.288405622
445,New Mexico,2014,Adopted,female,25-34,0.273749652
446,New Mexico,2014,Adopted,female,35-44,0.243847267
447,New Mexico,2014,Adopted,female,45-54,0.175045656
448,New Mexico,2014,Adopted,female,55-64,0.162383327
449,New York,2014,Adopted,male,< 6,0.462522834
450,New York,2014,Adopted,male,6-17,0.391384304
451,New York,2014,Adopted,male,18-24,0.219720626
452,New York,2014,Adopted,male,25-34,0.178502668
453,New York,2014,Adopted,male,35-44,0.162171966
454,New York,2014,Adopted,male,45-54,0.160475141
455,New York,2014,Adopted,male,55-64,0.166645918
456,New York,2014,Adopted,female,< 6,0.449809767
457,New York,2014,Adopted,female,6-17,0.383665822
458,New York,2014,Adopted,female,18-24,0.260765411
459,New York,2014,Adopted,female,25-34,0.243933534
460,New York,2014,Adopted,female,35-44,0.219801237
461,New York,2014,Adopted,female,45-54,0.19258871
462,New York,2014,Adopted,female,55-64,0.190063231
463,North Carolina,2014,Adopted,male,< 6,0.485201594
464,North Carolina,2014,Adopted,male,6-17,0.404171172
465,North Carolina,2014,Adopted,male,18-24,0.119618837
466,North Carolina,2014,Adopted,male,25-34,0.071805049
467,North Carolina,2014,Adopted,male,35-44,0.072146684
468,North Carolina,2014,Adopted,male,45-54,0.075240784
469,North Carolina,2014,Adopted,male,55-64,0.095806548
470,North Carolina,2014,Adopted,female,< 6,0.482863979
471,North Carolina,2014,Adopted,female,6-17,0.400099668
472,North Carolina,2014,Adopted,female,18-24,0.170570452
473,North Carolina,2014,Adopted,female,25-34,0.135752713
474,North Carolina,2014,Adopted,female,35-44,0.108944958
475,North Carolina,2014,Adopted,female,45-54,0.092639317
476,North Carolina,2014,Adopted,female,55-64,0.102125977
477,North Dakota,2014,Adopted,male,< 6,0.282823638
478,North Dakota,2014,Adopted,male,6-17,0.19920156
479,North Dakota,2014,Adopted,male,18-24,0.033445732
480,North Dakota,2014,Adopted,male,25-34,0.093459108
481,North Dakota,2014,Adopted,male,35-44,0.060486887
482,North Dakota,2014,Adopted,male,45-54,0.046393453
483,North Dakota,2014,Adopted,male,55-64,0.047169407
484,North Dakota,2014,Adopted,female,< 6,0.325630747
485,North Dakota,2014,Adopted,female,6-17,0.211649062
486,North Dakota,2014,Adopted,female,18-24,0.114549763
487,North Dakota,2014,Adopted,female,25-34,0.137027657
488,North Dakota,2014,Adopted,female,35-44,0.07969079
489,North Dakota,2014,Adopted,female,45-54,0.070082827
490,North Dakota,2014,Adopted,female,55-64,0.066144857
491,Ohio,2014,Adopted,male,< 6,0.429705011
492,Ohio,2014,Adopted,male,6-17,0.351340624
493,Ohio,2014,Adopted,male,18-24,0.124861842
494,Ohio,2014,Adopted,male,25-34,0.131533254
495,Ohio,2014,Adopted,male,35-44,0.123142402
496,Ohio,2014,Adopted,male,45-54,0.108298587
497,Ohio,2014,Adopted,male,55-64,0.097218724
498,Ohio,2014,Adopted,female,< 6,0.433953099
499,Ohio,2014,Adopted,female,6-17,0.348515005
500,Ohio,2014,Adopted,female,18-24,0.213325624
501,Ohio,2014,Adopted,female,25-34,0.255231676
502,Ohio,2014,Adopted,female,35-44,0.190607579
503,Ohio,2014,Adopted,female,45-54,0.134007094
504,Ohio,2014,Adopted,female,55-64,0.11999351
505,Oklahoma,2014,Adopted,male,< 6,0.489812601
